Code,Constituency name,Source URL,Recommendation
S14000084,Glasgow East,https://stopthetories.vote/parl/glasgow-east,Labour or SNP
S14000085,Glasgow North,https://stopthetories.vote/parl/glasgow-north,Labour or SNP
S14000086,Glasgow North East,https://stopthetories.vote/parl/glasgow-north-east,Labour or SNP
S14000087,Glasgow South,https://stopthetories.vote/parl/glasgow-south,Labour or SNP
S14000088,Glasgow South West,https://stopthetories.vote/parl/glasgow-south-west,Labour or SNP
S14000089,Glasgow West,https://stopthetories.vote/parl/glasgow-west,SNP or Labour
E14001247,Glastonbury and Somerton,https://stopthetories.vote/parl/glastonbury-and-somerton,Lib Dem
S14000090,Glenrothes and Mid Fife,https://stopthetories.vote/parl/glenrothes-and-mid-fife,Labour or SNP
E14001248,Gloucester,https://stopthetories.vote/parl/gloucester,Labour
E14001249,Godalming and Ash,https://stopthetories.vote/parl/godalming-and-ash,Lib Dem
E14001250,Goole and Pocklington,https://stopthetories.vote/parl/goole-and-pocklington,Labour
S14000091,Gordon and Buchan,https://stopthetories.vote/parl/gordon-and-buchan,SNP
E14001251,Gorton and Denton,https://stopthetories.vote/parl/gorton-and-denton,Any
E14001252,Gosport,https://stopthetories.vote/parl/gosport,Labour
W07000097,Gower,https://stopthetories.vote/parl/gower,Labour
E14001253,Grantham and Bourne,https://stopthetories.vote/parl/grantham-and-bourne,Labour
E14001254,Gravesham,https://stopthetories.vote/parl/gravesham,Labour
E14001255,Great Grimsby and Cleethorpes,https://stopthetories.vote/parl/great-grimsby-and-cleethorpes,Labour
E14001256,Great Yarmouth,https://stopthetories.vote/parl/great-yarmouth,Labour
E14001257,Greenwich and Woolwich,https://stopthetories.vote/parl/greenwich-and-woolwich,Any
E14001258,Guildford,https://stopthetories.vote/parl/guildford,Lib Dem
E14001259,Hackney North and Stoke Newington,https://stopthetories.vote/parl/hackney-north-and-stoke-newington,Any
E14001260,Hackney South and Shoreditch,https://stopthetories.vote/parl/hackney-south-and-shoreditch,Any
E14001261,Halesowen,https://stopthetories.vote/parl/halesowen,Labour
E14001262,Halifax,https://stopthetories.vote/parl/halifax,Labour
E14001263,Hamble Valley,https://stopthetories.vote/parl/hamble-valley,TBC
S14000092,Hamilton and Clyde Valley,https://stopthetories.vote/parl/hamilton-and-clyde-valley,Labour or SNP
E14001264,Hammersmith and Chiswick,https://stopthetories.vote/parl/hammersmith-and-chiswick,Any
E14001265,Hampstead and Highgate,https://stopthetories.vote/parl/hampstead-and-highgate,Any
E14001266,"Harborough, Oadby and Wigston",https://stopthetories.vote/parl/harborough-oadby-and-wigston,Labour
E14001267,Harlow,https://stopthetories.vote/parl/harlow,Labour
E14001268,Harpenden and Berkhamsted,https://stopthetories.vote/parl/harpenden-and-berkhamsted,Lib Dem
E14001269,Harrogate and Knaresborough,https://stopthetories.vote/parl/harrogate-and-knaresborough,Lib Dem
E14001270,Harrow East,https://stopthetories.vote/parl/harrow-east,Labour
E14001271,Harrow West,https://stopthetories.vote/parl/harrow-west,Any
E14001272,Hartlepool,https://stopthetories.vote/parl/hartlepool,Labour
E14001273,Harwich and North Essex,https://stopthetories.vote/parl/harwich-and-north-essex,Labour
E14001274,Hastings and Rye,https://stopthetories.vote/parl/hastings-and-rye,Labour
E14001275,Havant,https://stopthetories.vote/parl/havant,Labour
E14001276,Hayes and Harlington,https://stopthetories.vote/parl/hayes-and-harlington,Any
E14001277,Hazel Grove,https://stopthetories.vote/parl/hazel-grove,TBC
E14001278,Hemel Hempstead,https://stopthetories.vote/parl/hemel-hempstead,Labour
E14001279,Hendon,https://stopthetories.vote/parl/hendon,Labour
E14001280,Henley and Thame,https://stopthetories.vote/parl/henley-and-thame,Lib Dem
E14001281,Hereford and South Herefordshire,https://stopthetories.vote/parl/hereford-and-south-herefordshire,Labour
E14001282,Herne Bay and Sandwich,https://stopthetories.vote/parl/herne-bay-and-sandwich,Labour
E14001283,Hertford and Stortford,https://stopthetories.vote/parl/hertford-and-stortford,Labour
E14001284,Hertsmere,https://stopthetories.vote/parl/hertsmere,Labour
E14001285,Hexham,https://stopthetories.vote/parl/hexham,Labour
E14001286,Heywood and Middleton North,https://stopthetories.vote/parl/heywood-and-middleton-north,Labour
E14001287,High Peak,https://stopthetories.vote/parl/high-peak,Labour
E14001288,Hinckley and Bosworth,https://stopthetories.vote/parl/hinckley-and-bosworth,TBC
E14001289,Hitchin,https://stopthetories.vote/parl/hitchin,Labour
E14001290,Holborn and St Pancras,https://stopthetories.vote/parl/holborn-and-st-pancras,Any
E14001291,Honiton and Sidmouth,https://stopthetories.vote/parl/honiton-and-sidmouth,Lib Dem
E14001292,Hornchurch and Upminster,https://stopthetories.vote/parl/hornchurch-and-upminster,Labour
E14001293,Hornsey and Friern Barnet,https://stopthetories.vote/parl/hornsey-and-friern-barnet,Any
E14001294,Horsham,https://stopthetories.vote/parl/horsham,Lib Dem
E14001295,Houghton and Sunderland South,https://stopthetories.vote/parl/houghton-and-sunderland-south,Labour
E14001296,Hove and Portslade,https://stopthetories.vote/parl/hove-and-portslade,Any
E14001297,Huddersfield,https://stopthetories.vote/parl/huddersfield,Labour
E14001298,Huntingdon,https://stopthetories.vote/parl/huntingdon,Labour
E14001299,Hyndburn,https://stopthetories.vote/parl/hyndburn,Labour
E14001300,Ilford North,https://stopthetories.vote/parl/ilford-north,TBC
E14001301,Ilford South,https://stopthetories.vote/parl/ilford-south,Any
S14000093,Inverclyde and Renfrewshire West,https://stopthetories.vote/parl/inverclyde-and-renfrewshire-west,Labour or SNP
S14000094,"Inverness, Skye and West Ross-shire",https://stopthetories.vote/parl/inverness-skye-and-west-ross-shire,SNP
E14001302,Ipswich,https://stopthetories.vote/parl/ipswich,Labour
E14001303,Isle of Wight East,https://stopthetories.vote/parl/isle-of-wight-east,TBC
E14001304,Isle of Wight West,https://stopthetories.vote/parl/isle-of-wight-west,Labour
E14001305,Islington North,https://stopthetories.vote/parl/islington-north,Any
E14001306,Islington South and Finsbury,https://stopthetories.vote/parl/islington-south-and-finsbury,Any
E14001307,Jarrow and Gateshead East,https://stopthetories.vote/parl/jarrow-and-gateshead-east,Any
E14001308,Keighley and Ilkley,https://stopthetories.vote/parl/keighley-and-ilkley,Labour
E14001309,Kenilworth and Southam,https://stopthetories.vote/parl/kenilworth-and-southam,Labour
E14001310,Kensington and Bayswater,https://stopthetories.vote/parl/kensington-and-bayswater,Labour
E14001311,Kettering,https://stopthetories.vote/parl/kettering,Labour
S14000110,Kilmarnock and Loudoun,https://stopthetories.vote/parl/kilmarnock-and-loudoun,TBC
E14001312,Kingston and Surbiton,https://stopthetories.vote/parl/kingston-and-surbiton,Any
E14001313,Kingston upon Hull East,https://stopthetories.vote/parl/kingston-upon-hull-east,Labour
E14001314,Kingston upon Hull North and Cottingham,https://stopthetories.vote/parl/kingston-upon-hull-north-and-cottingham,Labour
E14001315,Kingston upon Hull West and Haltemprice,https://stopthetories.vote/parl/kingston-upon-hull-west-and-haltemprice,Labour
E14001316,Kingswinford and South Staffordshire,https://stopthetories.vote/parl/kingswinford-and-south-staffordshire,Labour
E14001317,Knowsley,https://stopthetories.vote/parl/knowsley,Any
N05000009,Lagan Valley,https://stopthetories.vote/parl/lagan-valley,TBC
E14001318,Lancaster and Wyre,https://stopthetories.vote/parl/lancaster-and-wyre,Labour
E14001319,Leeds Central and Headingley,https://stopthetories.vote/parl/leeds-central-and-headingley,Any
E14001320,Leeds East,https://stopthetories.vote/parl/leeds-east,Labour
E14001321,Leeds North East,https://stopthetories.vote/parl/leeds-north-east,Any
E14001322,Leeds North West,https://stopthetories.vote/parl/leeds-north-west,Labour
E14001323,Leeds South,https://stopthetories.vote/parl/leeds-south,Any
E14001324,Leeds South West and Morley,https://stopthetories.vote/parl/leeds-south-west-and-morley,Labour
E14001325,Leeds West and Pudsey,https://stopthetories.vote/parl/leeds-west-and-pudsey,Labour
E14001326,Leicester East,https://stopthetories.vote/parl/leicester-east,Labour
E14001327,Leicester South,https://stopthetories.vote/parl/leicester-south,Any
E14001328,Leicester West,https://stopthetories.vote/parl/leicester-west,Any
E14001329,Leigh and Atherton,https://stopthetories.vote/parl/leigh-and-atherton,Labour
E14001330,Lewes,https://stopthetories.vote/parl/lewes,Lib Dem
E14001331,Lewisham East,https://stopthetories.vote/parl/lewisham-east,Any
E14001332,Lewisham North,https://stopthetories.vote/parl/lewisham-north,Any
E14001333,Lewisham West and East Dulwich,https://stopthetories.vote/parl/lewisham-west-and-east-dulwich,Any
E14001334,Leyton and Wanstead,https://stopthetories.vote/parl/leyton-and-wanstead,Any
E14001335,Lichfield,https://stopthetories.vote/parl/lichfield,Labour
E14001336,Lincoln,https://stopthetories.vote/parl/lincoln,Labour
E14001337,Liverpool Garston,https://stopthetories.vote/parl/liverpool-garston,Any
E14001338,Liverpool Riverside,https://stopthetories.vote/parl/liverpool-riverside,Any
E14001339,Liverpool Walton,https://stopthetories.vote/parl/liverpool-walton,Any
E14001340,Liverpool Wavertree,https://stopthetories.vote/parl/liverpool-wavertree,Any
E14001341,Liverpool West Derby,https://stopthetories.vote/parl/liverpool-west-derby,Any
S14000095,Livingston,https://stopthetories.vote/parl/livingston,Labour or SNP
W07000098,Llanelli,https://stopthetories.vote/parl/llanelli,Labour
S14000096,Lothian East,https://stopthetories.vote/parl/lothian-east,TBC
E14001342,Loughborough,https://stopthetories.vote/parl/loughborough,Labour
E14001343,Louth and Horncastle,https://stopthetories.vote/parl/louth-and-horncastle,Labour
E14001344,Lowestoft,https://stopthetories.vote/parl/lowestoft,Labour
E14001345,Luton North,https://stopthetories.vote/parl/luton-north,Any
E14001346,Luton South and South Bedfordshire,https://stopthetories.vote/parl/luton-south-and-south-bedfordshire,Labour
E14001347,Macclesfield,https://stopthetories.vote/parl/macclesfield,Labour
E14001348,Maidenhead,https://stopthetories.vote/parl/maidenhead,TBC
E14001349,Maidstone and Malling,https://stopthetories.vote/parl/maidstone-and-malling,TBC
E14001350,Makerfield,https://stopthetories.vote/parl/makerfield,Labour
E14001351,Maldon,https://stopthetories.vote/parl/maldon,TBC
E14001352,Manchester Central,https://stopthetories.vote/parl/manchester-central,Any
E14001353,Manchester Rusholme,https://stopthetories.vote/parl/manchester-rusholme,Any
E14001354,Manchester Withington,https://stopthetories.vote/parl/manchester-withington,Any
E14001355,Mansfield,https://stopthetories.vote/parl/mansfield,Labour
E14001356,Melksham and Devizes,https://stopthetories.vote/parl/melksham-and-devizes,TBC
E14001357,Melton and Syston,https://stopthetories.vote/parl/melton-and-syston,Labour
E14001358,Meriden and Solihull East,https://stopthetories.vote/parl/meriden-and-solihull-east,Labour
W07000099,Merthyr Tydfil and Aberdare,https://stopthetories.vote/parl/merthyr-tydfil-and-aberdare,Labour
W07000100,Mid and South Pembrokeshire,https://stopthetories.vote/parl/mid-and-south-pembrokeshire,Labour
E14001359,Mid Bedfordshire,https://stopthetories.vote/parl/mid-bedfordshire,Labour
E14001360,Mid Buckinghamshire,https://stopthetories.vote/parl/mid-buckinghamshire,TBC
E14001361,Mid Cheshire,https://stopthetories.vote/parl/mid-cheshire,Labour
E14001362,Mid Derbyshire,https://stopthetories.vote/parl/mid-derbyshire,Labour
E14001363,Mid Dorset and North Poole,https://stopthetories.vote/parl/mid-dorset-and-north-poole,Lib Dem
S14000097,Mid Dunbartonshire,https://stopthetories.vote/parl/mid-dunbartonshire,TBC
E14001364,Mid Leicestershire,https://stopthetories.vote/parl/mid-leicestershire,Labour
E14001365,Mid Norfolk,https://stopthetories.vote/parl/mid-norfolk,Labour
E14001366,Mid Sussex,https://stopthetories.vote/parl/mid-sussex,TBC
N05000010,Mid Ulster,https://stopthetories.vote/parl/mid-ulster,TBC
E14001367,Middlesbrough and Thornaby East,https://stopthetories.vote/parl/middlesbrough-and-thornaby-east,Any
E14001368,Middlesbrough South and East Cleveland,https://stopthetories.vote/parl/middlesbrough-south-and-east-cleveland,Labour
S14000045,Midlothian,https://stopthetories.vote/parl/midlothian,Labour or SNP
E14001369,Milton Keynes Central,https://stopthetories.vote/parl/milton-keynes-central,Labour
E14001370,Milton Keynes North,https://stopthetories.vote/parl/milton-keynes-north,Labour
E14001371,Mitcham and Morden,https://stopthetories.vote/parl/mitcham-and-morden,Any
W07000101,Monmouthshire,https://stopthetories.vote/parl/monmouthshire,Labour
W07000102,Montgomeryshire and Glyndwr,https://stopthetories.vote/parl/montgomeryshire-and-glyndwr,Labour
S14000098,"Moray West, Nairn and Strathspey",https://stopthetories.vote/parl/moray-west-nairn-and-strathspey,SNP
E14001372,Morecambe and Lunesdale,https://stopthetories.vote/parl/morecambe-and-lunesdale,Labour
S14000099,"Motherwell, Wishaw and Carluke",https://stopthetories.vote/parl/motherwell-wishaw-and-carluke,Labour or SNP
S14000027,Na h-Eileanan an Iar,https://stopthetories.vote/parl/na-h-eileanan-an-iar,TBC
W07000103,Neath and Swansea East,https://stopthetories.vote/parl/neath-and-swansea-east,Labour
E14001373,New Forest East,https://stopthetories.vote/parl/new-forest-east,TBC
E14001374,New Forest West,https://stopthetories.vote/parl/new-forest-west,TBC
E14001375,Newark,https://stopthetories.vote/parl/newark,Labour
E14001376,Newbury,https://stopthetories.vote/parl/newbury,Lib Dem
E14001377,Newcastle upon Tyne Central and West,https://stopthetories.vote/parl/newcastle-upon-tyne-central-and-west,Any
E14001378,Newcastle upon Tyne East and Wallsend,https://stopthetories.vote/parl/newcastle-upon-tyne-east-and-wallsend,Any
E14001379,Newcastle upon Tyne North,https://stopthetories.vote/parl/newcastle-upon-tyne-north,Any
